pl_name,ra,dec,sy_dist
OGLE-TR-10 b,267.8677483,-29.8764758,1344.97
BD-08 2823 b,150.1971964,-9.5165689,41.3342
BD-08 2823 c,150.1971964,-9.5165689,41.3342
HD 104985 b,181.3157854,76.9053359,100.576
bet Pic b,86.8212337,-51.066148,19.7442
bet Pic b,86.8212337,-51.066148,19.7442
4 UMa b,130.0528099,64.3280504,73.4603
HD 104985 b,181.3157854,76.9053359,100.576
kap CrB b,237.8080012,35.6558818,30.0651
kap CrB b,237.8080012,35.6558818,30.0651
kap CrB b,237.8080012,35.6558818,30.0651
14 And b,352.82415,39.2358367,75.4392
18 Del b,314.6078375,10.8391378,76.222
81 Cet b,39.4243555,-3.3963607,101.26
HD 81688 b,142.1665753,45.6009241,85.7183
xi Aql b,298.5624491,8.4611051,56.1858
HD 180314 b,288.7094401,31.8604391,122.362
HD 208897 b,329.7490639,19.0201591,67.4872
HD 147379 b,244.1725686,67.2392041,10.7643
HD 47366 c,99.4200181,-12.9856593,84.3552
6 Lyn b,97.6960311,58.1611753,54.6599
81 Cet b,39.4243555,-3.3963607,101.26
gam Lib b,233.8818636,-14.789502,47.4017
gam Lib c,233.8818636,-14.789502,47.4017
HD 110014 b,189.8111935,-7.9956702,100.758
KOI-13 b,286.9713876,46.8682463,519.096
Kepler-44 b,300.1023512,45.7621918,1188.0
GJ 667 C b,259.7510609,-34.9977651,7.24396
GJ 667 C c,259.7510609,-34.9977651,7.24396
KOI-13 b,286.9713876,46.8682463,519.096
WASP-62 b,87.1398205,-63.9883286,175.631
KOI-13 b,286.9713876,46.8682463,519.096
KOI-13 b,286.9713876,46.8682463,519.096
GJ 667 C f,259.7510609,-34.9977651,7.24396
GJ 667 C g,259.7510609,-34.9977651,7.24396
GJ 667 C b,259.7510609,-34.9977651,7.24396
GJ 667 C c,259.7510609,-34.9977651,7.24396
HAT-P-7 b,292.24719,47.9695429,341.079
HAT-P-7 b,292.24719,47.9695429,341.079
WASP-74 b,304.538843,-1.0760033,149.216
HAT-P-7 b,292.24719,47.9695429,341.079
KOI-13 b,286.9713876,46.8682463,519.096
Kepler-44 b,300.1023512,45.7621918,1188.0
HAT-P-7 b,292.24719,47.9695429,341.079
GJ 667 C b,259.7510609,-34.9977651,7.24396
GJ 667 C c,259.7510609,-34.9977651,7.24396
GJ 667 C b,259.7510609,-34.9977651,7.24396
GJ 667 C c,259.7510609,-34.9977651,7.24396
KOI-13 b,286.9713876,46.8682463,519.096
KOI-13 b,286.9713876,46.8682463,519.096
HAT-P-7 b,292.24719,47.9695429,341.079
Kepler-44 b,300.1023512,45.7621918,1188.0
KOI-13 b,286.9713876,46.8682463,519.096
KELT-7 b,78.2955912,33.3179532,136.681
HATS-61 b,61.6578005,-25.3496674,679.761
HATS-63 b,67.418582,-28.1972149,623.232
WASP-62 b,87.1398205,-63.9883286,175.631
WASP-74 b,304.538843,-1.0760033,149.216
Kepler-44 b,300.1023512,45.7621918,1188.0
HAT-P-7 b,292.24719,47.9695429,341.079
HAT-P-7 b,292.24719,47.9695429,341.079
Kepler-44 b,300.1023512,45.7621918,1188.0
KOI-13 b,286.9713876,46.8682463,519.096
Kepler-44 b,300.1023512,45.7621918,1188.0
KOI-13 b,286.9713876,46.8682463,519.096
HAT-P-7 b,292.24719,47.9695429,341.079
KOI-13 b,286.9713876,46.8682463,519.096
HAT-P-7 b,292.24719,47.9695429,341.079
HD 108236 e,186.5740627,-51.3630519,64.5978
HD 108236 c,186.5740627,-51.3630519,64.5978
HD 108236 c,186.5740627,-51.3630519,64.5978
WASP-74 b,304.538843,-1.0760033,149.216
WASP-76 b,26.632936,2.700389,194.459
WASP-62 b,87.1398205,-63.9883286,175.631
HATS-60 b,341.3640336,-14.9917747,486.474
WASP-62 b,87.1398205,-63.9883286,175.631
HATS-68 b,15.006077,-58.9047242,603.955
WASP-76 b,26.632936,2.700389,194.459
HAT-P-7 b,292.24719,47.9695429,341.079
KELT-7 b,78.2955912,33.3179532,136.681
HATS-66 b,101.3948048,-33.8816918,1477.98
HATS-63 b,67.418582,-28.1972149,623.232
HATS-67 b,180.2087883,-46.1364201,960.109
HATS-61 b,61.6578005,-25.3496674,679.761
HATS-67 b,180.2087883,-46.1364201,960.109
HATS-68 b,15.006077,-58.9047242,603.955
WASP-76 b,26.632936,2.700389,194.459
HAT-P-7 b,292.24719,47.9695429,341.079
HATS-64 b,144.2876092,-29.800444,1080.15
HATS-65 b,292.9397825,-26.7402021,493.32
51 Eri b,69.4007424,-2.4738245,29.7575
HATS-67 b,180.2087883,-46.1364201,960.109
HD 108236 b,186.5740627,-51.3630519,64.5978
HD 108236 c,186.5740627,-51.3630519,64.5978
HD 108236 d,186.5740627,-51.3630519,64.5978
HD 108236 e,186.5740627,-51.3630519,64.5978
KELT-7 b,78.2955912,33.3179532,136.681
KOI-13 b,286.9713876,46.8682463,519.096
WASP-62 b,87.1398205,-63.9883286,175.631
WASP-74 b,304.538843,-1.0760033,149.216
WASP-76 b,26.632936,2.700389,194.459
TOI-1224 b,37.1978356,-80.8991053,37.3312
TOI-1224 c,37.1978356,-80.8991053,37.3312
KELT-7 b,78.2955912,33.3179532,136.681
TOI-1224 b,37.1978356,-80.8991053,37.3312
TOI-1224 c,37.1978356,-80.8991053,37.3312
KELT-7 b,78.2955912,33.3179532,136.681
WASP-62 b,87.1398205,-63.9883286,175.631
WASP-74 b,304.538843,-1.0760033,149.216
WASP-76 b,26.632936,2.700389,194.459
WASP-76 b,26.632936,2.700389,194.459
HD 48948 b,102.489811,60.3373133,16.9043
HD 48948 c,102.489811,60.3373133,16.9043
HD 48948 d,102.489811,60.3373133,16.9043
WASP-76 b,26.632936,2.700389,194.459
OGLE-2014-BLG-0221L b,270.30375,-27.4267639,3680.0
OGLE-2014-BLG-0221L b,270.30375,-27.4267639,6750.0
OGLE-2014-BLG-0221L b,270.30375,-27.4267639,2940.0
GQ Lup b,237.3003643,-35.6515055,151.169
bet Pic b,86.8212337,-51.066148,19.7442
PDS 70 b,212.0421402,-41.3980405,113.064
PDS 70 b,212.0421402,-41.3980405,113.064
51 Eri b,69.4007424,-2.4738245,29.7575
PDS 70 b,212.0421402,-41.3980405,113.064
bet Pic b,86.8212337,-51.066148,19.7442
bet Pic b,86.8212337,-51.066148,19.7442
51 Eri b,69.4007424,-2.4738245,29.7575
VHS J125601.92-125723.9 b,194.008964,-12.956031,
VHS J125601.92-125723.9 b,194.008964,-12.956031,
VHS J125601.92-125723.9 b,194.008964,-12.956031,
bet Pic b,86.8212337,-51.066148,19.7442
bet Pic b,86.8212337,-51.066148,19.7442
VHS J125601.92-125723.9 b,194.008964,-12.956031,
VHS J125601.92-125723.9 b,194.008964,-12.956031,
2MASS J12073346-3932539 b,181.8890906,-39.5484399,64.308
GQ Lup b,237.3003643,-35.6515055,151.169
PDS 70 c,212.0421402,-41.3980405,113.064
bet Pic b,86.8212337,-51.066148,19.7442
bet Pic c,86.8212337,-51.066148,19.7442
2MASS J12073346-3932539 b,181.8890906,-39.5484399,64.308
bet Pic c,86.8212337,-51.066148,19.7442
bet Pic b,86.8212337,-51.066148,19.7442
PDS 70 b,212.0421402,-41.3980405,113.064
PDS 70 c,212.0421402,-41.3980405,113.064
TOI-5704 b,169.8248694,44.9890782,89.637
HD 23472 d,55.4590314,-62.7672667,39.0341
TOI-672 b,167.9908627,-39.3281151,66.9071
TOI-199 b,80.1058735,-59.8954326,102.27
TOI-199 c,80.1058735,-59.8954326,102.27
KELT-18 b,216.5238248,59.4442735,321.376
TOI-2096 c,151.6186989,74.8272107,48.4809
HD 23472 c,55.4590314,-62.7672667,39.0341
TOI-3819 b,121.8632568,29.3886446,558.141
Kepler-33 d,289.0775348,46.0051696,1209.16
HIP 5158 b,16.5094891,-22.4536134,51.6026
HD 6718 b,16.9536005,-8.2336165,51.3444
HD 149026 b,247.6229827,38.3475349,75.8643
HAT-P-2 b,245.1514324,41.0479601,127.774
TOI-1710 b,94.2838373,76.21102,81.2271
TOI-4791 b,109.3883818,-19.8289392,328.802
TOI-4201 b,90.4747237,-13.461371,189.011
TOI-4137 b,77.612879,70.391079,334.993
TOI-4087 b,217.9257785,83.3727061,301.676
HD 156846 b,260.1423366,-19.334365,47.7332
HD 132563 b,224.5892892,44.0428571,105.155
HD 137388 b,233.915082,-80.2044169,40.4841
WASP-80 b,303.1667996,-2.1444369,49.7876
HAT-P-18 b,256.346376,33.0123251,161.4
HD 23127 b,54.8491271,-60.077229,93.8555
HD 189733 b,300.1821223,22.7097759,19.7638
HD 20794 c,49.9997666,-43.0666533,6.00278
HD 20794 d,49.9997666,-43.0666533,6.00278
HD 189733 b,300.1821223,22.7097759,19.7638
HAT-P-18 b,256.346376,33.0123251,161.4
WASP-80 b,303.1667996,-2.1444369,49.7876
HD 189733 b,300.1821223,22.7097759,19.7638
HD 189733 b,300.1821223,22.7097759,19.7638
HD 189733 b,300.1821223,22.7097759,19.7638
WASP-80 b,303.1667996,-2.1444369,49.7876
HD 189733 b,300.1821223,22.7097759,19.7638
LHS 1140 b,11.248632,-15.2741085,14.9861
HD 20794 d,49.9997666,-43.0666533,6.00278
HD 189733 b,300.1821223,22.7097759,19.7638
LHS 1140 b,11.248632,-15.2741085,14.9861
HAT-P-18 b,256.346376,33.0123251,161.4
HD 189733 b,300.1821223,22.7097759,19.7638
HD 189733 b,300.1821223,22.7097759,19.7638
TOI-421 b,81.8532824,-14.2767404,74.7969
HD 100655 b,173.7653631,20.441541,137.178
HD 155358 b,257.3930947,33.3549277,43.6197
HD 79498 b,138.7885794,23.3748792,48.9489
CHXR 73 b,166.6193985,-77.6258725,190.374
HD 13189 b,32.4173964,32.3164548,497.823
GJ 433 b,173.8619194,-32.5436302,9.06456
HIP 5158 b,16.5094891,-22.4536134,51.6026
alf Ari b,31.793286,23.462421,20.21019
tau Gem b,107.7847232,30.2449545,112.537
HD 62509 b,116.328824,28.026127,
Kepler-370 c,292.1710683,40.9162381,1167.94
Kepler-400 b,290.9444679,40.4800528,845.97
Kepler-221 b,296.6547477,46.8352242,385.231
Kepler-367 c,297.292558,49.9817499,188.027
Kepler-393 c,290.995205,45.192188,881.404
Kepler-304 c,294.4418031,40.5575408,434.684
Kepler-360 b,286.2847077,44.7815817,876.044
Kepler-101 c,283.255507,48.3552474,927.981
Kepler-243 c,285.1104819,42.0339619,693.86
Kepler-261 c,291.3647333,37.609239,317.499
Kepler-327 d,292.6422963,44.0876251,241.987
Kepler-136 b,296.4673039,42.5987984,420.818
Kepler-122 d,291.1118647,39.9490248,1027.45
Kepler-157 c,291.0972257,38.8756049,773.713
Kepler-147 c,287.9757213,39.087168,1042.02
Kepler-239 b,294.2020505,40.6633313,648.109
Kepler-200 b,284.4099503,41.2374928,665.912
Kepler-243 b,285.1104819,42.0339619,693.86
Kepler-160 c,287.773573,42.8692755,937.013
Kepler-254 b,288.1646541,45.8164257,1389.48
Kepler-172 c,283.3684093,41.821839,828.592
Kepler-299 c,283.2070156,48.5805222,1052.24
Kepler-278 c,290.1072124,38.7022694,443.03
Kepler-339 d,293.351701,48.4445922,616.637
Kepler-397 b,295.8940373,42.3805156,
Kepler-399 b,299.5017242,40.6707669,740.537
HD 219415 b,348.7243579,56.7303001,165.184
Pr0201 b,130.4324005,20.2268164,180.64
HD 207832 b,328.1517893,-26.0271749,58.9291
